State	Rate2007	Rate2008
AL	584.5	591.0
AK	526.0	528.3
AZ	459.2	414.3
AR	569.0	546.5
CA	526.5	504.8
CO	506.3	483.6
CT	604.0	588.5
DE	622.5	608.5
DC	633.9	554.3
FL	536.9	528.8
GA	586.8	576.1
HI	505.0	513.0
ID	533.6	513.3
IL	587.7	579.5
IN	550.1	537.6
IA	565.2	562.3
KS	583.0	578.8
KY	627.5	619.2
LA	616.9	614.7
ME	614.4	584.6
MD	553.9	550.8
MA	593.2	573.3
MI	608.0	562.8
MN	588.5	566.8
MS	634.4	624.4
MO	560.1	526.2
MT	532.8	513.8
NE	570.6	524.5
NV	481.5	519.2
NH	598.6	591.9
NJ	614.7	584.9
NM	495.6	473.4
NY	593.5	585.0
NC	584.1	575.5
ND	574.5	550.5
OH	559.3	549.6
OK	609.2	551.5
OR	523.5	537.4
PA	598.6	578.7
RI	613.8	584.1
SC	577.0	547.7
SD	504.5	493.8
TN	573.5	570.3
TX	551.2	532.8
UT	486.0	460.3
VT	559.0	545.0
VA	564.7	538.0
WA	545.7	544.3
WV	602.1	566.5
WI	545.8	514.9
WY	508.9	520.0
