See <http://betterwriting.net/projects/fed01/>

The following are data used in an analysis of _The Federalist_ papers by Alexander Hamilton and James Madison (published as series from 1787-1788).  The source of the texts was <http://lcweb2.loc.gov/const/fed/fedpaper.txt> 

The data were generated from the texts using tagging and visualization software, Docuscope. 

The first row is the variable names. The author of each paper is in 'Group' variable with 1=Hamilton, 2=Madison, 3=disputed authorship. See the top link for further explanation of the variables.

The dataset may be freely used and distributed for non-commercial purposes.

Jeff Collins <jeff.collins@acm.org> 31 Oct 2002

TextNumber	TextName	Group	FirstPerson	InnerThinking	ThinkPositive	ThinkNegative	ThinkingAhead	ThinkingBack	WordPicture	SpaceInterval	Motion	PastEvents	ShiftingEvts	TimeInterval	CueComKnow	CuePriorText	CueReader	CueNotifier	CueMovement	CueReasoning
1	Hfed_01.txt	1	0.68	3.5	2.71	3.16	2.09	0.28	1.69	0.4	0.34	0.96	0.23	0.51	2.48	4.4	1.58	6.21	0.06	0.85
6	Hfed_06.txt	1	0.08	1.63	1.67	3.42	0.46	0.38	1.63	0.42	0.21	1.25	0.25	0.83	1.79	4.09	1.17	4.88	0	0.71
7	Hfed_07.txt	1	0	2.17	1.98	2.36	1.49	0.69	1.1	0.19	0.04	1.37	0.27	0.5	1.29	5.06	0.76	5.79	0.04	0.69
8	Hfed_08.txt	1	0	1.94	1.9	3.5	1.31	0.72	2.07	0.46	0.21	1.18	0.68	1.01	1.56	4.81	0.34	5.78	0.08	0.68
9	Hfed_09.txt	1	0.22	2.14	2.18	2.05	1.44	0.83	1	0.39	0.22	1.4	0.44	0.7	1.92	5.02	0.57	5.93	0.04	0.39
10	Mfed_10.txt	2	0	1.99	2.58	3.93	1.29	0.09	1.41	0.35	0.15	1.41	0.29	0.53	2.08	5.13	0.76	7.13	0.03	0.82
11	Hfed_11.txt	1	0.07	2.22	2.65	1.66	1.38	0.53	1.38	0.25	0.21	0.6	0.39	0.49	1.09	4.27	2.01	4.69	0	0.32
12	Hfed_12.txt	1	0.04	1.53	2.06	1.53	1.21	0.69	1.49	0.48	0.4	0.97	0.32	0.48	1.49	4.24	0.61	6.17	0.04	0.77
13	Hfed_13.txt	1	0	3.18	1.73	1.09	1.63	0.54	1.45	0.36	0	0.82	0.36	0.36	1.27	4.27	0.54	5	0	0.54
14	Mfed_14.txt	2	0.21	2.23	2.31	1.69	1.28	0.5	0.99	0.41	0.21	1.45	0.33	0.54	1.57	5.37	1.2	6.69	0	0.54
15	Hfed_15.txt	1	0.12	2.43	2.37	3.18	1.01	0.55	1.5	0.26	0.29	1.53	0.29	0.61	1.99	4.02	2.11	5.7	0	0.69
16	Hfed_16.txt	1	0.09	2.84	2.06	3.32	1.84	0.61	1.4	0.31	0.13	1.22	0.44	1.36	1.49	5.56	0.22	4.46	0	0.26
17	Hfed_17.txt	1	0.17	1.33	2.61	2.17	1.5	0.72	2.11	0.39	0.11	1.28	0.28	0.67	1.78	4.95	0.22	6	0	0.83
21	Hfed_21.txt	1	0.09	2.12	1.63	2.43	0.93	0.49	1.55	0.22	0.18	1.02	0.4	0.71	2.21	3.53	0.53	6.32	0	0.35
22	Hfed_22.txt	1	0.07	1.91	1.83	2.85	0.97	0.42	1.44	0.42	0.02	1.12	0.27	0.69	1.71	4.54	0.72	6.84	0	0.72
23	Hfed_23.txt	1	0.24	2.54	1.85	1.46	1.17	0.24	1.12	0.34	0.1	1.51	0.34	0.49	2.39	5.17	0.93	6.39	0.05	0.83
24	Hfed_24.txt	1	0.13	2.7	1.48	2.18	1.79	0.31	1.74	0.22	0.26	1.57	0.39	0.52	1.44	5.15	1	6.32	0.04	0.39
25	Hfed_25.txt	1	0	2.42	1.8	2.73	1.98	0.31	1.54	0.4	0.26	1.27	0.35	0.92	1.58	4.35	1.05	5.89	0.04	0.88
26	Hfed_26.txt	1	0.07	2.56	1.52	3	1.89	0.44	1.93	0.37	0.04	1.33	0.44	0.67	1.85	4.23	0.7	6.41	0.07	0.78
27	Hfed_27.txt	1	0.06	2.39	1.79	2.45	1.91	0.24	1.26	0.18	0.24	1.38	0.48	0.72	1.08	5.02	0.36	7.42	0	0.78
28	Hfed_28.txt	1	0	2.3	1.42	2.73	1.53	0.22	2.24	0.55	0.16	1.42	0.44	0.55	1.69	4.59	0.77	5.63	0	0.6
29	Hfed_29.txt	1	0.12	2.32	1.6	3.36	1.8	0.32	1.96	0.44	0.32	0.84	0.36	0.92	2	4.48	1.08	6.04	0	0.6
30	Hfed_30.txt	1	0	2.07	1.8	2.02	1.39	0.54	1.62	0.31	0.18	0.9	0.36	0.85	2.61	5.21	1.53	6.92	0.04	0.94
31	Hfed_31.txt	1	0.05	3.21	1.63	1.88	1.37	0.05	1.43	0.31	0.1	0.87	0.1	0.31	2.29	5.14	0.25	6.62	0	0.87
32	Hfed_32.txt	1	0.35	3.33	1.23	1.64	1.46	0.29	0.64	0.35	0.06	0.64	0.23	0.58	2.34	4.91	0.41	6.67	0	1.11
33	Hfed_33.txt	1	0.21	3	1.03	1.65	1.19	0.47	0.88	0.21	0.26	1.65	0.41	0.62	3.2	6.2	1.19	6.93	0	0.98
34	Hfed_34.txt	1	0.16	2.82	1.29	1.69	1.29	0.56	1.29	0.36	0.32	1.33	0.44	0.48	1.45	4.19	1.25	6.36	0	1.05
35	Hfed_35.txt	1	0.28	2.63	1.57	1.45	1.26	0.2	2.28	0.35	0.2	0.94	0.16	0.83	1.85	5.19	0.59	6.37	0	1.06
36	Hfed_36.txt	1	0.33	2.15	1.92	1.33	1.4	0.36	1.5	0.33	0.33	1.11	0.26	0.59	1.95	4.26	0.65	7.16	0	0.98
37	Mfed_37.txt	2	0.03	3.17	1.77	1.83	0.82	0.65	1.34	0.13	0.16	1.5	0.33	0.72	1.6	5.49	0.42	7.22	0	0.69
38	Mfed_38.txt	2	0.13	2.5	2.23	2.29	0.77	0.61	1.38	0.16	0.13	1.49	0.32	0.66	1.25	6.09	1.01	6.35	0	0.88
39	Mfed_39.txt	2	0	2.43	1.07	0.4	0.63	0.2	2.3	0.5	0.17	1.47	0.27	0.63	1.57	4.83	0.17	8.23	0	0.93
40	Mfed_40.txt	2	0.06	2.45	1.67	1.36	0.81	0.81	1.39	0.14	0	2.48	0.49	0.49	1.41	5.25	1.1	7.71	0.03	1.01
41	Mfed_41.txt	2	0.1	2.25	1.7	2.68	1.2	0.33	1.1	0.23	0.15	1.4	0.35	0.6	2.2	4.63	0.68	6.48	0.03	0.73
42	Mfed_42.txt	2	0.09	2.4	1.48	1.67	1.51	0.6	0.98	0.57	0.19	1.7	0.35	0.57	1.99	4.07	0.38	6.72	0	0.6
43	Mfed_43.txt	2	0.03	2.22	1.89	1.82	0.96	0.43	1.14	0.33	0.13	1.31	0.3	0.28	1.67	4.44	0.58	6.51	0	0.91
44	Mfed_44.txt	2	0.15	2.36	1.18	1.79	1.15	0.7	0.7	0.36	0.09	1.82	0.27	0.33	2.61	3.42	0.33	6.69	0	1.03
45	Mfed_45.txt	2	0.17	2.32	1.74	1.37	1.28	0.46	1.65	0.41	0.08	1.37	0.46	0.41	1.61	3.52	0.5	6.5	0.08	1.03
46	Mfed_46.txt	2	0.07	2.37	1.63	2.41	2.03	0.41	2	0.44	0.03	1.49	0.41	0.78	1.22	4.65	0.34	5.73	0	0.88
47	Mfed_47.txt	2	0.22	2.64	0.72	0.91	0.6	0.38	0.91	0.28	0.06	1.64	0.35	0.66	1.32	4.28	0.03	5.88	0	0.85
48	Mfed_48.txt	2	0.18	2.44	1.2	1.66	0.69	0.46	1.1	0.69	0.18	1.56	0.64	0.55	1.75	5.7	0.41	7.73	0	0.64
49	ORfed_49.txt	3	0.1	2.83	1.57	1.62	1.15	0.52	1.78	0.1	0.26	1.42	0.26	1	1.78	4.56	0.42	5.14	0	0.68
50	ORfed_50.txt	3	0.23	3.2	1.45	1.75	1.07	0.69	1.07	0.08	0.15	2.06	0.61	0.99	0.84	4.95	0.46	5.86	0	0.69
51	ORfed_51.txt	3	0.09	2.01	1.51	1.92	1.6	0.23	0.78	0.37	0.05	1.28	0.55	0.18	2.06	3.8	0.18	7.14	0	1.01
52	ORfed_52.txt	3	0.19	2.41	1.23	0.94	0.76	0.57	0.85	0.47	0.38	1.84	0.47	1.09	1.75	5.2	0.38	6.61	0	0.71
53	ORfed_53.txt	3	0.08	2.58	1.57	0.65	1.13	0.28	0.85	0.32	0.2	1.41	0.56	0.89	1.65	3.91	1.05	7.06	0	0.56
54	ORfed_54.txt	3	0.09	3.12	1.13	1.13	0.61	0.3	2.43	0.26	0.09	2.13	0.09	0.39	2.3	5.12	0.52	6.68	0.04	1.26
55	ORfed_55.txt	3	0.26	3.15	0.82	2.33	1.25	0.22	1.42	0.35	0.13	1.38	0.35	0.65	1.42	4.4	0.99	6.04	0	0.69
56	ORfed_56.txt	3	0	2.11	1.28	0.72	1	0.28	1.05	0.33	0	1.28	0.17	0.56	1.33	4.55	0.28	7.11	0	0.89
57	ORfed_57.txt	3	0.12	2.17	2.17	1.33	0.97	0.2	2.09	0.32	0.08	0.97	0.28	0.48	2.09	5.36	1.21	5.96	0	0.6
