Year	All	None	Any	IADL	ADL12	ADL36
1992	6550	2980	3468	5770	7373	17058
1993	7063	3101	3841	6240	7949	18782
1994	7730	3355	3783	6396	8349	22994
1995	8297	3744	4548	7050	9147	23695
1996	8635	3742	4835	7674	9767	25565
1997	8836	3992	5075	7410	10254	25957
1998	8738	4351	5645	7790	10266	23721
1999	9151	4408	5791	8659	10669	24694
2000	9785	5055	6448	9357	11045	24479
2001	10711	6033	6601	10187	12991	28145
2002	11510	6841	7132	11091	13153	29233
2003	11863	6683	7639	11660	14573	29433
2004	12301	7256	8167	11571	14996	31631
2005	13218	7577	8975	12363	16489	33663
2006	14448	8847	9520	14353	17759	34751
2007	14842	7664	10009	15641	17725	38809
