State	Pov	Minority	PovMin	Rural
AL	0.09	0.28	0.03	0.26
AK	0.39	0.34	0.21	0.80
AZ	0.26	0.42	0.16	0.48
AR	0.32	0.16	0.08	0.58
CA	0.43	0.41	0.23	0.14
CO	0.26	0.18	0.09	0.32
CT	0.13	0.14	0.05	0.11
DE	0.17	0.25	0.04	0.18
DC	0.25	0.91	0.24	0.00
FL	0.42	0.47	0.28	0.19
GA	0.53	0.42	0.27	0.35
GU	0.58	0.90	0.57	0.97
HI	0.25	0.72	0.20	0.54
ID	0.22	0.05	0.02	0.61
IL	0.33	0.29	0.09	0.25
IN	0.69	0.08	0.05	0.59
IA	0.25	0.04	0.02	0.58
KS	0.21	0.07	0.03	0.66
KY	0.40	0.09	0.05	0.63
LA	0.36	0.32	0.16	0.36
ME	0.42	0.02	0.01	0.71
MD	0.13	0.40	0.06	0.29
MA	0.10	0.12	0.02	0.05
MI	0.25	0.15	0.08	0.46
MN	0.12	0.05	0.02	0.72
MS	0.59	0.50	0.35	0.80
MO	0.33	0.17	0.08	0.64
MT	0.20	0.07	0.02	0.53
NE	0.21	0.05	0.03	0.77
NV	0.25	0.15	0.06	0.35
NH	0.16	0.00	0.00	0.76
NJ	0.25	0.25	0.10	0.00
NM	0.21	0.43	0.14	0.33
NY	0.23	0.32	0.10	0.20
NC	0.43	0.34	0.17	0.42
ND	0.20	0.04	0.02	0.71
OH	0.30	0.17	0.08	0.38
OK	0.20	0.15	0.04	0.51
OR	0.11	0.07	0.02	0.13
PA	0.09	0.08	0.02	0.14
PR	0.43	1.00	0.43	0.47
RI	0.14	0.06	0.02	0.00
SC	0.52	0.53	0.30	0.62
SD	0.30	0.04	0.03	0.82
TN	0.39	0.21	0.11	0.46
TX	0.49	0.49	0.28	0.22
UT	0.17	0.07	0.02	0.31
VT	0.18	0.01	0.00	0.97
VA	0.39	0.41	0.19	0.34
WA	0.22	0.18	0.08	0.28
WV	0.19	0.01	0.00	0.79
WI	0.22	0.06	0.03	0.70
WY	0.18	0.03	0.01	0.73
USTotal	0.30	0.25	0.11	0.37
				
				
				
				
				
				
				
