Country	Gold	Silver	Bronze
US	46	29	29
China	38	27	22
Russia	24	25	33
Britain	29	17	19
Germany	11	19	14
SKorea	13	8	7
France	11	11	12
Australia	7	16	12
Japan	7	14	17
Italy	8	9	11
Netherlands	6	6	8
Spain	3	10	4
Hungary	8	4	5
Ukraine	6	5	9
Kazakhstan	7	1	5
Iran	4	5	3
Cuba	5	3	5
Brazil	3	5	9
NZealand	5	3	5
Canada	1	5	12
Jamaica	4	4	4
CzechRep	4	3	3
Belarus	3	5	5
NKorea	4	0	2
SAfrica	3	2	1
Ethiopia	3	1	3
Romania	2	5	2
Kenya	2	4	5
Croatia	3	1	2
Azerbaijan	2	2	6
Poland	2	2	6
Denmark	2	4	3
Turkey	2	2	1
Sweden	1	4	3
Columbia	1	4	3
Lithuania	2	1	2
Switzerland	2	2	0
Georgia	1	3	3
Mexico	1	3	3
Norway	2	1	1
India	0	2	4
Ireland	1	1	3
Mongolia	0	2	3
Argentina	1	1	2
Serbia	1	1	2
Slovenia	1	1	2
TrinTobago	1	0	3
Uzbekistan	1	0	3
Tunisia	1	1	1	
Slovakia	0	1	3
Thailand	0	2	1
DominicanRep	1	1	0
Armenia	0	1	2
Belgium	0	1	2
Finland	0	1	2
Egypt	0	2	0
Latvia	1	0	1
Bulgaria	0	1	1
Estonia	0	1	1
Indonesia	0	1	1
Malaysia	0	1	1
PuertoRico	0	1	1
Taiwan	0	1	1
Algeria	1	0	0
Bahamas	1	0	0
Grenada	1	0	0
Uganda	1	0	0
Venezuela	1	0	0
Greece	0	0	2
Moldovia	0	0	2
Qatar	0	0	2
Singapore	0	0	2
Botswana	0	1	0
Cyprus	0	1	0
Gabon	0	1	0
Guatemala	0	1	0
Montenegro	0	1	0
Portugal	0	1	0
Afghanistan	0	0	1
Bahrain	0	0	1
HongKong	0	0	1
Kuwait	0	0	1
Morocco	0	0	1
SaudiArabia	0	0	1
Tajikstan	0	0	1






