Age-Adjusted Incidence Rate - All Cancer Sites Combined
*1999 *All Races *Male *Quantile *4

US National Data
"State","Color","Rate","Lower CI","Upper CI","Count","Population",
"US","","573.6","572.2","575.1","617,572","123,716,337",

US States Data
"State","Color","Rate","Lower CI","Upper CI","Count","Population",
"AL","0xBAE4BC","513.5","503.3","523.9","9,967","2,136,882",
"AK","0x7BCCC4","567.4","527.8","608.8","1,026","323,513",
"AZ","0xBAE4BC","485.3","476.2","494.5","11,149","2,505,524",
"AR","NODATA","","","","","",
"CA","0xBAE4BC","540.7","536.6","544.8","69,240","16,699,043",
"CO","0xBAE4BC","525.9","514.2","537.8","8,226","2,124,660",
"CT","0x43A2CA","600.4","588.2","612.8","9,289","1,639,253",
"DE","0x7BCCC4","574.0","548.6","600.2","2,011","376,258",
"DC","0x0868AC","685.8","651.8","721.0","1,569","268,416",
"FL","0x43A2CA","591.6","586.6","596.8","52,683","7,685,574",
"GA","0x7BCCC4","548.3","539.3","557.4","15,588","3,949,934",
"HI","0xBAE4BC","491.3","473.2","509.9","2,793","608,470",
"ID","0xBAE4BC","510.7","491.4","530.4","2,718","638,876",
"IL","0x43A2CA","588.7","581.9","595.5","29,711","6,045,670",
"IN","0xBAE4BC","528.9","519.9","538.0","13,512","2,961,618",
"IA","0x43A2CA","579.8","567.2","592.5","8,115","1,429,411",
"KS","0x7BCCC4","571.4","557.8","585.3","6,727","1,322,294",
"KY","0x0868AC","635.0","622.8","647.3","10,859","1,961,652",
"LA","0x0868AC","614.6","602.8","626.5","10,805","2,158,067",
"ME","0x0868AC","615.1","595.3","635.4","3,744","616,210",
"MD","0x0868AC","602.8","592.1","613.6","12,760","2,537,581",
"MA","0x0868AC","609.9","600.7","619.2","16,962","3,042,515",
"MI","0x0868AC","635.6","627.8","643.4","26,589","4,849,346",
"MN","0x7BCCC4","552.2","542.0","562.5","11,367","2,410,550",
"MS","NODATA","","","","","",
"MO","0x7BCCC4","564.3","554.9","573.8","14,119","2,701,782",
"MT","0x7BCCC4","560.8","538.4","583.9","2,405","446,964",
"NE","0x7BCCC4","574.0","557.1","591.2","4,402","839,233",
"NV","0xBAE4BC","473.6","458.2","489.4","4,013","985,296",
"NH","0x7BCCC4","570.6","549.9","591.9","2,990","600,605",
"NJ","0x0868AC","631.0","622.8","639.2","23,183","4,055,321",
"NM","0xBAE4BC","502.5","486.4","518.9","3,837","889,421",
"NY","0x43A2CA","579.1","573.8","584.4","46,651","9,105,071",
"NC","NODATA","","","","","",
"ND","0x7BCCC4","569.3","543.1","596.5","1,774","321,642",
"OH","0x43A2CA","580.9","574.1","587.7","28,966","5,500,437",
"OK","0xBAE4BC","545.2","533.4","557.2","8,327","1,688,364",
"OR","0x43A2CA","586.6","574.5","598.9","9,022","1,681,715",
"PA","0x43A2CA","601.3","595.1","607.6","36,309","5,916,741",
"RI","0x0868AC","639.8","617.1","663.1","3,042","499,678",
"SC","0x0868AC","609.5","597.3","621.8","10,195","1,929,076",
"SD","NODATA","","","","","",
"TN","NODATA","","","","","",
"TX","0xBAE4BC","547.4","542.0","552.9","40,748","10,198,018",
"UT","0xBAE4BC","506.2","489.4","523.3","3,612","1,103,315",
"VT","0x43A2CA","577.3","548.5","607.2","1,558","296,285",
"VA","NODATA","","","","","",
"WA","0x0868AC","602.6","592.7","612.6","14,510","2,907,663",
"WV","0x43A2CA","591.0","575.0","607.3","5,356","879,990",
"WI","0x43A2CA","586.5","576.8","596.4","13,935","2,631,141",
"WY","0x7BCCC4","571.6","539.1","605.5","1,208","247,262",

Notes:
Confidence interval (CI): Range of values for a rate that will include the true value of the rate a given percentage of the time. Example: 95CI includes the true value of the rate 95of the time. 
Urinary bladder cases include invasive and in situ.
ONS:Other Nervous System; NOS: Not Otherwise Specified; IBD: Intrahepatic Bile Duct.
