State  	All	Cut	Drown	Fall	Fire	Firearm	MotorVeh	Poison	Suffocate
AL	74.5	1.0	2.0	4.2	2.1	16.9	19.4	14.1	5.3
AK	87.1	NA	5.1	6.1	1.7	18.8	8.7	21.8	7.9
AZ	72.0	1.1	1.6	11.9	0.7	14.2	12.4	17.7	5.5
AR	76.7	0.9	2.3	6.5	2.2	15.4	20.5	14.6	5.9
CA	45.8	1.0	1.3	6.1	0.5	8.1	8.4	11.9	4.1
CO	67.9	0.7	1.2	13.5	0.6	11.0	10.3	16.9	7.1
CT	47.5	0.9	1.1	8.0	0.7	5.4	8.2	11.8	6.0
DE	58.7	0.8	1.2	5.8	1.0	9.8	12.6	17.0	5.7
DC	59.3	3.2	NA	8.2	2.1	16.7	6.6	10.4	4.0
FL	65.7	1.0	2.3	8.1	0.7	11.9	13.8	17.8	5.1
GA	60.9	0.8	1.5	8.3	1.3	12.7	14.1	11.5	4.6
HI	47.5	0.9	3.0	7.4	NA	3.2	8.3	12.3	8.1
ID	65.7	NA	1.6	9.8	0.9	12.4	14.2	13.2	5.4
IL	48.0	0.9	1.0	6.5	0.9	8.3	7.9	11.7	5.6
IN	60.1	0.6	1.3	5.4	1.2	11.1	11.6	15.7	5.8
IA	53.0	0.6	1.1	10.0	1.1	6.8	12.4	9.7	5.2
KS	61.4	0.6	1.3	9.6	1.2	10.4	14.7	11.1	6.0
KY	78.3	0.7	1.4	6.1	1.8	12.8	18.1	22.3	5.6
LA	75.5	1.1	2.4	5.2	1.8	18.5	17.8	14.9	5.2
ME	56.7	0.7	2.0	5.9	0.8	8.3	11.4	13.9	5.1
MD	52.8	1.1	1.1	7.9	1.1	10.4	9.8	12.8	4.0
MA	41.2	0.9	1.0	6.7	0.5	3.5	5.2	13.2	5.5
MI	57.5	0.8	1.2	7.3	1.3	11.0	9.6	15.1	5.4
MN	51.3	0.5	1.1	12.8	0.6	6.7	8.8	9.7	5.0
MS	82.6	1.3	1.9	8.8	2.9	17.4	24.0	12.3	6.1
MO	71.2	0.8	1.3	9.6	1.6	13.8	14.8	16.5	6.3
MT	85.3	1.0	2.4	11.1	1.0	15.7	20.8	16.6	6.1
NE	50.8	0.6	0.9	9.3	0.9	7.9	12.1	7.9	5.2
NV	68.3	1.0	1.3	7.1	0.8	14.9	10.5	21.5	5.9
NH	51.6	0.6	1.1	10.1	1.0	7.1	9.1	12.8	4.8
NJ	36.2	0.8	1.0	4.3	0.7	5.0	6.3	8.0	4.8
NM	95.2	1.4	1.9	15.5	1.0	14.7	17.0	27.9	6.9
NY	37.4	1.1	0.9	6.1	0.9	4.9	6.2	9.2	4.0
NC	63.7	0.9	1.3	8.9	1.2	11.9	14.7	13.6	4.8
ND	60.0	NA	2.0	10.3	0.9	9.0	16.0	7.3	6.1
OH	57.1	0.6	0.9	8.1	1.2	9.4	9.6	15.4	5.7
OK	83.8	1.0	2.1	8.8	2.1	14.2	18.9	21.1	5.5
OR	61.0	0.8	2.2	11.3	0.7	10.5	9.3	14.6	5.6
PA	59.8	0.8	0.9	8.4	1.2	10.4	10.8	16.5	5.6
RI	53.4	0.8	1.2	10.2	0.9	4.5	7.4	18.0	5.9
SC	70.5	0.9	1.9	5.8	1.8	13.6	18.9	14.7	5.9
SD	64.7	NA	1.0	11.4	1.6	9.7	15.8	8.9	7.3
TN	76.7	0.8	1.5	8.7	1.8	15.0	16.6	17.2	6.2
TX	58.0	0.9	1.4	7.7	1.0	10.9	14.0	10.3	4.6
UT	66.3	0.4	1.1	8.5	0.5	10.8	10.3	20.8	5.8
VT	61.4	NA	NA	17.0	NA	9.1	10.9	10.9	5.4
VA	51.1	0.8	1.2	7.1	1.1	10.4	9.6	9.1	4.9
WA	57.6	0.7	1.7	11.8	0.8	8.9	8.1	15.7	4.8
WV	80.8	0.7	1.6	7.9	1.8	13.3	17.4	24.1	5.0
WI	57.8	0.7	1.3	14.4	0.8	8.1	9.9	12.3	5.1
WY	84.5	NA	1.3	9.5	NA	16.7	21.0	16.7	7.2
