name	league	division	rank	wins	losses	HomeAtt	AwayAtt	salary
NYMets	1	1	1	108	54	2767601	2176615	526899
Phi	1	1	2	86	75	1933335	1721147	540930
StL	1	1	3	79	82	2471974	1695738	445049
Mon	1	1	4	78	83	1128981	1926119	312959
Cubs	1	1	5	70	90	1859102	1879706	556256
Pit	1	1	6	64	98	1000917	1651057	223730
Hou	1	2	1	96	66	1734276	1816220	430363
Cin	1	2	2	86	76	1692432	1849888	313194
SF	1	2	3	83	79	1528748	1924802	326583
SD	1	2	4	74	88	1805716	1779829	405340
LA	1	2	5	73	89	3023208	2074970	580250
Atl	1	2	6	72	89	1387181	1837380	462188
Bos	2	1	1	95	66	2147641	2266765	552646
Yankees	2	1	2	90	72	2268030	2196697	551519
Det	2	1	3	87	75	1899437	1821142	445978
Tor	2	1	4	86	76	2455477	1716243	423417
Cle	2	1	5	84	78	1471805	1727486	363073
Mil	2	1	6	77	84	1265041	1707552	266542
Bal	2	1	7	73	89	1973176	1737994	550229
Cal	2	2	1	92	70	2655872	1685439	408181
Tex	2	2	2	87	75	1692002	1670132	240250
KC	2	2	3	76	86	2320794	1909566	405833
Oak	2	2	4	76	86	1314646	1614837	392951
WhtSox	2	2	5	72	90	1424313	1852893	371979
Min	2	2	6	71	91	1255453	1707440	432097
Sea	2	2	7	67	95	1029045	1558546	186146
