 Births to mothers under 20 years Previous item Next item  
Source: CDC
http://www.cdc.gov/nchs/data_access/vitalstats/VitalStats_Births.htm

	 
    Race/Origin  	Total	White total	Non-Hispanic white	Black total	Non-Hispanic black	American Indian Item summary	Asian or Pacific Islander	Hispanic Item summary

---------------------------------------------------------------------

Year  Total  White      NHW     Black   NHB     AmerI   AsPac   Hisp
1994	13.1	11.3	9.7	23.2	23.3	21.0	5.7	17.8
1995	13.1	11.5	9.8	23.1	23.3	21.4	5.6	17.9
1996	12.9	11.3	9.7	22.8	23.0	20.9	5.3	17.4
1997	12.7	11.2	9.5	22.2	22.4	20.8	5.2	17.0
1998	12.5	11.1	9.4	21.5	21.6	20.9	5.4	16.9
1999	12.3	10.9	9.2	20.7	20.7	20.2	5.1	16.7
2000	11.8	10.6	8.7	19.7	19.8	19.7	4.5	16.2
2001	11.3	10.2	8.2	18.9	18.9	19.3	4.3	15.6
2002	10.8	9.8	7.9	18.0	18.1	18.5	3.8	14.9
2003	10.3	9.4	7.5	17.3	17.4	18.2	3.5	14.3
2004	10.3	9.3	7.4	17.1	17.3	17.9	3.4	14.3
2005	10.2	9.3	7.3	16.9	17.0	17.7	3.3	14.1
2006	10.4	9.4	7.4	17.0	17.2	17.6	3.3	14.3
2007	10.5	9.5	7.5	17.2	17.3	18.4	3.1	14.2
2008	10.4	9.5	7.5	17.0	17.1	18.0	3.0	14.1
2009	10.0	9.2	7.3	16.4	16.4	17.3	2.8	13.8
2010	9.3	8.5	6.7	15.2	15.2	16.1	2.6	13.1
	

-----------------------------------------------------------------------

	
