Fog	Fleisch	FK	Complex	Syllables	Wordsen	Chars	NoWords	NoSen	WordsDollar	WordsOunce
11.4	59.4	9.1	0.12	1.5	16.8	485983	76602	4571	5637	3892
13.0	51.4	10.7	0.24	2.6	18.5	1727322	287174	15498	18397	7326
13.9	46.4	10.8	0.19	1.7	16.2	1088043	325927	20152	3334	6366
12.5	57.0	9.9	0.13	1.5	18.4	153697	26432	1433	3073	16520
13.1	42.2	10.9	0.19	1.8	14.2	241234	32445	2285	996	989
10.8	63.7	8.2	0.12	1.5	15.3	187908	32567	2130	3787	1404
7.5	72.1	6.0	0.07	1.5	11.4	699095	125088	10947	12264	9198
7.2	74.5	5.7	0.07	1.4	11.5	697591	123296	10758	12088	10275
9.9	70.2	7.3	0.09	1.4	15.3	200088	35793	2334	2557	2131
7.7	73.3	6.1	0.07	1.4	12.2	319612	59987	4909	5898	7498
12.2	56.9	9.9	0.12	1.6	18.2	742599	126121	6915	13474	10510
10.7	62.8	8.7	0.10	1.5	16.9	721735	129876	7684	14759	13529
9.9	73.0	7.3	0.08	1.4	16.9	4918042	859763	50733	47136	35823
11.5	64.4	8.8	0.10	1.5	18.4	1642236	286546	15607	21070	8528
10.4	70.4	8.1	0.07	1.4	18.7	716807	130161	6968	11378	10169
9.6	68.3	7.3	0.10	1.5	14.2	228387	38635	2272	6439	6899
6.7	75.4	5.0	0.08	1.4	9.1	168454	27618	3022	4611	4932
6.8	76.1	4.9	0.08	1.4	8.9	209716	35226	3947	3540	2590
11.4	70.3	9.0	0.06	1.3	22.1	746777	141550	6395	17694	14745
16.3	54.9	13.6	0.09	1.4	32.0	641452	106947	3342	13452	22281
11.4	68.5	8.6	0.09	1.4	19.8	1185372	217193	10980	31251	22624
6.7	79.7	4.4	0.08	1.4	9.0	130867	22975	2557	2279	4103
8.7	71.1	5.2	0.14	1.5	7.4	116148	19552	2632	2089	3491
11.3	65.3	8.8	0.09	1.4	18.1	830985	148121	7896	16458	30859
14.0	45.9	11.6	0.16	1.7	19.1	1027470	167577	8767	13725	9436
13.9	56.7	11.2	0.11	1.5	23.4	1781270	314860	13477	39755	14364
10.8	66.5	8.5	0.09	1.4	18.0	770425	137649	7638	17206	11471
13.8	47.3	11.7	0.14	1.6	20.5	113056	18489	904	3087	5778
17.6	49.0	15.2	0.09	1.4	35.3	738596	130938	3711	10724	7116
13.4	57.6	10.7	0.12	1.5	22.0	4199724	748802	34078	24968	17018
14.9	40.5	11.9	0.20	1.8	17.3	127847	20021	1155	3342	6257
5.0	86.9	3.4	0.30	1.3	9.1	965104	179148	19740	17359	13996
4.9	86.8	3.4	0.04	1.3	8.8	135379	25219	2851	2502	3940
