Year	month	CO2	IcePct	IceArea	Snow	ElNino
1978	11	333.76	12.02	8.95	31.49	21.99
1978	12	334.83	14.12	10.85	43.65	23.30
1979	1	336.21	15.54	12.33	49.12	24.77
1979	2	336.64	16.31	13.11	47.42	25.70
1979	3	338.13	16.44	13.13	43.50	26.26
1979	4	338.96	15.46	12.43	34.50	25.39
1979	5	339.02	14.06	11.04	22.81	24.13
1979	6	339.20	12.59	9.28	12.16	23.29
1979	7	337.60	10.47	6.59	5.94	22.18
1979	8	335.56	8.15	4.96	4.16	21.20
1979	9	333.93	7.20	4.53	5.46	21.30
1979	10	334.12	9.39	6.11	14.70	21.61
1979	11	335.26	11.16	8.29	28.20	22.20
1979	12	336.78	13.54	10.55	37.69	23.25
1980	1	337.80	14.96	11.85	45.62	24.77
1980	2	338.28	15.98	12.82	48.22	25.77
1980	3	340.04	16.13	12.92	42.54	26.61
1980	4	340.86	15.49	12.45	33.46	25.80
1980	5	341.47	14.04	10.88	20.56	24.54
1980	6	341.26	12.31	8.93	10.92	23.27
1980	7	339.34	10.39	6.45	5.42	21.52
1980	8	337.45	8.04	4.84	4.25	20.77
1980	9	336.10	7.85	4.83	4.93	20.66
1980	10	336.05	9.46	6.42	13.61	20.36
1980	11	337.21	11.69	8.64	31.20	21.56
1980	12	338.29	13.72	10.71	37.28	22.54
1981	1	339.36	15.03	11.82	41.69	23.48
1981	2	340.51	15.65	12.45	43.48	25.21
1981	3	341.57	15.61	12.62	42.46	26.31
1981	4	342.56	15.12	12.16	33.54	25.03
1981	5	343.01	13.90	10.93	22.47	24.06
1981	6	342.52	12.57	8.96	13.44	22.75
1981	7	340.71	10.62	6.23	5.82	21.38
1981	8	338.51	7.86	4.38	4.57	20.52
1981	9	336.96	7.25	4.38	4.56	19.93
1981	10	337.13	9.19	6.19	16.74	20.55
1981	11	338.58	11.17	8.23	33.45	21.41
1981	12	339.91	13.74	10.47	43.49	23.00
1982	1	340.92	15.26	12.11	47.95	24.29
1982	2	341.69	16.06	12.79	45.99	25.49
1982	3	342.87	16.15	12.99	40.49	25.21
1982	4	343.83	15.57	12.55	31.67	24.50
1982	5	344.30	14.17	11.10	18.91	23.97
1982	6	343.42	12.69	9.40	9.11	22.89
1982	7	341.85	10.75	6.79	3.30	22.47
1982	8	339.82	8.26	4.92	3.06	21.75
1982	9	337.98	7.45	4.38	5.41	21.80
1982	10	338.09	9.98	6.60	17.43	22.94
1982	11	339.24	11.91	8.97	33.56	24.59
1982	12	340.67	13.83	10.81	42.78	26.13
1983	1	341.42	15.10	11.92	46.26	27.42
1983	2	342.67	16.02	12.86	46.56	28.09
1983	3	343.45	16.10	12.84	40.24	28.68
1983	4	345.08	15.30	12.12	30.04	28.56
1983	5	345.76	13.54	10.80	20.96	28.19
1983	6	345.32	12.35	9.20	10.37	27.44
1983	7	343.93	10.91	6.79	4.28	25.95
1983	8	342.08	8.36	4.88	3.15	23.78
1983	9	340.00	7.52	4.64	5.11	22.24
1983	10	340.12	9.64	6.70	17.16	21.86
1983	11	341.35	11.64	8.91	32.50	21.90
1983	12	342.89	13.44	10.56	44.15	23.01
1984	1	343.87	14.60	11.60	46.25	24.18
1984	2	344.59	15.32	12.17	44.86	25.18
1984	3	345.29	15.62	12.48	40.91	26.00
1984	4	346.83	15.15	12.10	30.54	25.16
1984	5	347.36	13.68	10.81	18.50	23.23
1984	6	346.80	12.20	9.02	8.47	21.96
1984	7	345.37	10.15	6.19	3.41	21.24
1984	8	343.06	7.87	4.59	2.53	20.17
1984	9	341.24	7.17	4.05	3.94	20.37
1984	10	341.54	8.84	5.84	17.43	20.52
1984	11	342.90	11.29	8.15	33.28	21.50
1984	12	344.36	13.18	10.19	42.10	22.58
1985	1	345.08	14.85	11.60	49.87	23.59
1985	2	345.89	15.67	12.39	48.21	24.87
1985	3	347.49	16.06	12.66	44.02	25.74
1985	4	348.02	15.34	12.46	32.59	24.25
1985	5	348.75	14.23	11.19	22.49	22.29
1985	6	348.19	12.40	8.88	13.42	21.75
1985	7	346.49	10.09	5.89	4.96	20.44
1985	8	344.70	7.46	4.51	3.00	19.29
1985	9	343.04	6.93	4.17	4.56	19.44
1985	10	342.92	8.88	6.03	17.45	19.90
1985	11	344.22	11.39	8.35	37.75	20.69
1985	12	345.61	13.19	10.15	45.99	22.40
1986	1	346.42	15.02	11.79	46.10	24.61
1986	2	346.95	15.89	12.53	47.64	26.06
1986	3	347.88	16.08	12.65	39.73	25.91
1986	4	349.57	15.15	11.95	30.30	24.58
1986	5	350.35	13.52	10.63	20.49	23.38
1986	6	349.70	12.10	8.93	11.05	21.98
1986	7	347.78	10.47	6.53	4.29	21.12
1986	8	345.89	8.01	4.92	3.01	20.97
1986	9	344.88	7.54	4.66	6.53	20.44
1986	10	344.34	9.89	6.77	17.44	21.07
1986	11	345.67	11.78	8.81	33.78	22.03
1986	12	346.89	13.40	10.46	41.67	23.00
1987	1	348.20	15.20	11.81	47.49	25.30
1987	2	348.55	16.11	12.93	45.46	27.14
1987	3	349.56	15.95	12.75	43.38	28.01
1987	4	351.12	15.33	12.27	30.97	27.17
1987	5	351.84	13.81	10.91	18.57	25.58
1987	6	351.45	12.57	9.32	12.17	24.06
1987	7	349.77	9.98	6.84	5.20	22.78
1987	8	347.62	7.69	5.35	2.75	21.73
1987	9	346.37	7.48	5.60	5.20	21.45
