Year	Miners	Fatalities
1900	448581	1489
1901	485544	1574
1902	518197	1724
1903	566260	1926
1904	593693	1995
1905	626045	2232
1906	640780	2138
1907	680492	3242
1908	690438	2445
1909	666552	2642
1910	725030	2821
1911	728348	2656
1912	722662	2419
1913	747644	2785
1914	763185	2454
1915	734008	2269
1916	720971	2226
1917	757317	2696
1918	762426	2580
1919	776569	2323
1920	784621	2272
1921	823253	1995
1922	844807	1984
1923	862536	2462
1924	779613	2402
1925	748805	2518
1926	759033	2234
1927	759177	2231
1928	682831	2176
1929	654494	2187
1930	644006	2063
1931	589705	1463
1932	527623	1207
1933	523182	1064
1934	566426	1226
1935	565202	1242
1936	584582	1342
1937	589856	1413
1938	541528	1105
1939	539375	1078
1940	533267	1388
1941	546692	1266
1942	530861	1471
1943	486516	1451
1944	453937	1298
1945	437921	1068
1946	463079	968
1947	490356	1158
1948	507333	999
1949	485306	585
1950	483239	643
1951	441905	785
1952	401329	548
1953	351126	461
1954	283705	396
1955	260089	420
1956	260285	448
1957	254725	478
1958	224890	358
1959	203597	293
1960	189679	325
1961	167568	294
1962	161286	289
1963	157126	284
1964	150761	242
1965	148734	259
1966	145244	233
1967	139312	222
1968	134467	311
1969	133302	203
1970	144480	260
1971	142108	181
1972	162207	156
1973	151892	132
1974	182274	133
1975	224412	155
1976	221255	141
1977	237506	139
1978	255588	106
1979	260429	144
1980	253007	133
1981	249738	153
1982	241454	122
1983	200199	70
1984	208160	125
1985	197049	68
1986	185167	89
1987	172780	63
1988	166278	53
1989	164929	68
1990	168625	66
1991	158677	61
1992	153128	55
1993	141183	47
1994	143645	45
1995	132111	47
1996	126451	39
1997	126429	30
1998	122083	29
1999	114489	35
2000	108098	38
2001	114458	42
2002	110966	28
2003	104824	30
2004	108734	28
2005	116436	23
2006	122975	47
2007	122936	34
2008	133828	30
2009	134089	18
2010	135500	48
2011	143437	21
2012	137650	20
