ticker	sector	target.price	price	DivGrow	EpsCgrow	EpsGrow	CashFlowGrow	SalesGrow	PE	PE5yr	price.book	price.sales	price.sales5yr	yield	yield5yr
DPM	Utilities	1.13	47.93	4.7	32	32	-99.2	5	20.9	6.2	2.42	1.62	0.74	5.9	8.3
SXL	Energy	1.05	64.24	11.1	30.4	30.4	40.6	12.2	14.7	6.8	1.26	0.47	0.27	3.7	6.7
HWKN	BasicM	1.07	37.08	7.2	14.5	13	1.1	13.4	21.9	6.8	2.23	1.1	0.96	1.9	2.4
CVX	Energy	1.06	120.43	9.2	8.8	8.8	-20.6	1.8	9.8	6.9	1.62	0.99	0.76	3.3	3.4
MUR	Energy	1.11	67.42	11.7	4.8	4.2	-34.6	9.3	13.9	7.5	1.39	0.45	0.48	1.9	1.8
CCE	ConsNC	1.02	37.4	21.7	8.2	8.2	-6.5	5.2	17.8	7.7	4.85	1.27	0.85	2.1	2
AFSI	Finance	1.08	35.72	28.8	12.1	12.1	11.6	26.5	10.4	7.8	2.2	1.15	0.92	1.4	1.9
OXY	Energy	1.14	88.21	18.1	-1.1	-2.5	-27.5	3.9	16.1	8	1.7	2.93	3.14	2.9	2
TGH	Services	0.98	34.86	7.4	19.5	19.5	-33.2	12.8	9.2	8.2	1.85	3.86	3.04	5.4	5.6
TCAP	Finance	1.01	29.17	15.6	11.4	11.4	2.3	48.1	11.1	8.3	1.87	7.96	4.73	7.4	12.5
OKS	Utilities	1.06	49.59	5.4	7.7	7.7	-21.7	11.8	20	8.3	2.55	1.02	0.79	5.8	7
ENB	Utilities	1.23	40.95	12.9	-9.5	-9.5	-17.4	16.3	54.6	8.3	4.19	1.21	1	3	3.3
HCC	Finance	1.11	42.2	8.8	2	2	0.4	1.8	10.4	8.5	1.19	1.64	1.25	2.1	2.1
XOM	Energy	1.07	87.16	9.7	5.8	5.8	-13.2	3.4	11	8.8	2.33	0.9	0.9	2.9	2.4
CBRL	Services	1.05	98.42	15.5	10.2	-5.3	39.1	1.9	19.9	8.9	5.14	0.88	0.38	3	2.3
TRV	Finance	1.06	79.9	9.6	-1.9	-1.9	-0.9	-0.2	10.3	9.1	1.21	1.16	0.99	2.5	2.8
NUE	BasicM	1	45.49	-9.7	-20.5	-20.5	-18	3.2	35	9.1	1.92	0.79	0.8	3.2	3.5
NKSH	Finance	0.84	36.53	7.7	7.1	7.1	7.7	-0.8	14.4	9.4	1.74	5.34	3.57	3	3.7
TMK	Finance	1	68.89	11.6	8	8	10.8	0.6	12.2	9.5	1.66	1.71	1.19	1	1.3
DRI	Services	1.14	46.21	22.7	4	3.5	-17	5.2	14.8	9.6	2.92	0.7	0.69	4.8	3.3
WMB	Energy	1.09	36.24	25.1	-3.4	-3.5	-10.1	-6.1	39	9.7	5.28	3.44	1.66	4.1	3.1
NGLS	Energy	1.08	48.86	16	8.2	8.2	-24.2	-3	125.3	9.7	2.86	0.88	0.33	5.9	9.1
AZN	Health	1.01	49.21	8.4	5.9	5.9	-20.1	-1.1	12.6	9.8	2.65	2.32	1.91	5.7	5.7
SBSI	Finance	0.85	24.88	20.8	15	15	32.4	1.9	12.7	9.8	1.89	4.07	2.46	3.2	4.2
CNP	Utilities	1.1	22.93	3.6	-4.4	-4.4	19.2	-5	52.1	9.9	2.34	1.21	0.7	3.6	5.5
BHB	Finance	1.2	36	4.1	6.3	6.3	16.7	-0.4	11.3	10	1.17	2.79	1.95	3.5	3.8
RBC	CapGood	1.08	63.7	4.9	4.8	4.8	4.9	11.9	15.1	10	1.43	0.93	0.79	1.3	1.4
APU	Energy	1.02	42.5	3.3	-15.3	-15.3	2	5.1	23.1	10	2.68	1.25	0.91	7.9	7.7
NS	Energy	1.14	41.71	2.7	-25.4	-27.3	-6.4	32.2	88.7	10	1.37	0.72	0.66	10.5	8.3
ENSG	Health	1.09	38.65	8.9	6.3	6.3	24.8	14.9	50.2	10.1	2.57	0.99	0.66	0.7	1
IMO	Energy	1.09	41.79	6.5	5.3	5.3	-20.6	4.2	11.5	10.3	2.12	1.16	1.32	1.1	1
CINF	Finance	1	45.68	2.7	-12.4	-12.4	0.1	-0.7	13.2	10.3	1.31	1.73	1.2	3.7	5.6
TCP	Utilities	0.98	48.32	3.9	0.2	0.2	-19.4	3.9	22.8	10.3	1.72	15.94	9.08	6.7	7.9
EOG	Energy	1.06	157.05	13.2	-13.7	-13.7	-19.5	22.5	42.8	10.3	2.95	3.22	3.24	0.5	0.6
CAT	CapGood	1.09	82.54	7.9	9.4	9.4	-18.7	7.9	13	10.4	3.04	0.89	0.91	2.9	2.6
CB	Finance	1.02	83.17	7.2	-4.3	-4.3	0	-0.7	11.8	10.5	1.4	1.57	1.34	2.1	2.7
BR	Finance	1.02	29.76	24.6	5.2	4.7	-17.8	2.7	17.5	10.5	4.4	1.48	1.15	2.8	2.7
PII	ConsCyc	1.02	109.21	16.8	23.2	23.5	17	12.5	22.9	10.5	9.31	2.23	1.03	1.5	3.1
DOV	BasicM	1	85.05	11.6	6.6	6.4	7.9	2.1	16	10.6	2.92	1.74	1.28	1.8	2.4
EEP	Energy	1.07	29.82	2.9	4.3	0.8	11.2	-1.3	62.1	10.6	2.17	1.4	0.82	7.3	8.5
LANC	ConsNC	0.98	73.77	6.5	19.5	25.8	-30.1	3.5	18.5	10.7	4.02	1.73	1.3	2.2	2.6
CMS	Utilities	1.12	26.53	36.9	38.7	27.8	27.7	-0.7	16.4	10.8	2.11	1.07	0.65	3.8	3.8
NTT	Services	1.21	25.38	9.8	-1.3	-1.3	-28.4	0	11.2	11	0.71	0.55	0.56	3.5	2.8
SRE	Utilities	1.04	84.42	14.1	-3.9	-3.4	-47.3	-3.3	21.2	11	1.92	1.96	1.34	3	3.4
AIZ	Finance	0.99	53.04	12	1	1	-6.3	0.1	10.6	11.1	0.86	0.47	0.44	1.9	1.9
LLL	CapGood	0.99	90.33	14.9	6.5	7.3	3.4	-1.2	10.8	11.2	1.45	0.61	0.59	2.4	2.2
EIX	Utilities	1.13	45.89	2.2	6.7	-16.7	-101.5	-1.6	11.3	11.2	1.6	1.2	1.04	2.9	3.5
GAS	Utilities	0.98	43.95	1.2	-3.3	-3.3	35.1	9.5	16.7	11.2	1.46	1.16	1.12	4.3	5
OGE	Utilities	1.11	35.21	3.1	6.2	6.2	7.3	-0.7	20.6	11.2	2.48	1.93	1.07	2.4	3.9
UVV	ConsNC	1.13	49.02	2.2	5.7	5.7	53.5	2.8	8.3	11.3	1.06	0.47	0.43	4.1	4.3
IBM	Tech	1.15	182.27	17.1	14.9	14.9	10.6	1.1	13	11.3	11.3	1.96	1.7	2.1	1.8
VFC	ConsCyc	1.03	187.21	6.3	12.2	13	8	8.5	18.6	11.3	3.95	1.86	1.15	1.9	3
BG	ConsNC	1.09	75.78	9.9	-16.2	-50	-5.6	10	40.3	11.3	1.15	0.18	0.18	1.6	1.4
ATNI	Services	1.05	47.24	9.9	4.8	4.8	51.3	31.8	15.9	11.4	2.12	1.03	1.37	2.1	2.3
EGN	Energy	0.96	66.31	4	-4	-4	-52.8	2.4	23.4	11.5	1.72	2.8	2.17	0.9	1.1
BRC	Services	1.02	33	5.7	-16.8	-16.8	9.5	-0.6	35.5	11.5	1.64	1.44	1.13	2.3	2.4
TSH	Finance	1.1	45.54	3	3.4	3.4	39.2	-1.9	10.8	11.6	1.07	2.45	1.62	3.3	4.5
R	Services	1.19	55.61	7.4	-1.4	-0.7	-37.9	-0.3	12.9	11.6	1.85	0.45	0.41	2.4	2.5
CNI	Transp	1.04	93.73	12.3	7.4	7.4	5.1	4.7	16.7	11.6	3.6	4.11	3.27	1.8	1.9
GPS	Services	1.14	40.44	8.8	16.4	17.5	8.1	-0.1	14.9	11.7	5.47	1.17	0.81	2	2.1
HTCO	Services	0.85	10.02	3.3	-0.9	-0.9	-18.4	3.2	16.4	11.7	2.8	0.72	0.71	5.8	6.3
TLP	Energy	1.17	41.28	5.1	10.9	10.9	-15.9	3.5	19.1	11.7	2.05	3.74	2.53	6.3	9.3
