State     Rank     Index     Grocery Items     Housing     Utilities     Transportation     Health Care     Misc Goods & Services
AK    49   133.17   136.38   143.28   142.56   130.94   140.63   119.66
AL    12    93.25   100.29    81.70    99.73    94.77    86.93    99.07
AR     4    90.39    96.05    81.87    95.35    91.52    88.67    94.05
AZ    36   104.20   104.28   112.13    96.93   104.08   102.03    99.57
CA    48   132.72   112.56   185.91   109.55   117.56   111.52   108.32
CO    33   102.50   101.72   113.09    88.40    99.71   102.98    98.61
CT    45   125.50   122.27   144.69   121.87   106.90   113.29   119.07
DC    50   141.27   107.87   232.02    98.46   105.74   103.1    104.12
DE    35   104.16   108.40   100.21   112.50    95.86   107.58   106.07
FL    25    98.66   108.31    92.76    96.80   101.74    99.52    99.41
GA    10    92.99   103.63    81.44    91.36    95.71    99.57    97.80
HI    51   167.82   164.51   255.40   148.50   126.61   118.15   117.59
IA    16    94.51    93.78    91.25    94.98    99.42    95.04    95.70
ID    15    94.39    98.69    83.77    95.99   104.89    96.97    97.52
IL    19    95.04    95.39    90.15    96.48   102.86    99.72    95.35
IN    13    93.46    91.41    84.79    97.68   101.67    97.92    97.17
KS     9    92.15    91.15    86.02    87.30    96.23    94.65    97.77
KY     2    89.95    88.74    81.32    98.30    94.10    92.45    93.79
LA    20    96.17    95.74    99.25    84.57    95.43    93.49    97.81
MA    40   117.70   106.62   126.93   139.90   100.03   116.81   113.60
MD    43   123.56   111.62   164.27   118.23   104.73   101.16   103.07
ME    39   114.59   101.36   138.17   100.68   113.01   110.9    104.00
MI    11    93.01    96.97    81.73   110.58   103.35    93.25    92.21
MN    34   103.40   102.67    97.69   111.42   102.35   105.48   106.49
MO     8    91.97    95.00    80.06    97.19    95.38    96.77    98.00
MS     7    91.75    97.19    79.77   109.56    92.58    94.05    94.22
MT    28    99.43   109.25    95.18    90.20   104.64   106.05    99.40
NC    21    96.92   101.31    89.24    98.44    97.12   103.82   100.66
ND    24    98.59   101.71    94.83    75.21    99.78    98.86   107.57
NE     6    90.78    96.61    83.56    93.54    97.56    91.50    91.48
NH    41   118.31   105.61   120.91   124.47    99.12   114.52   126.83
NJ    47   129.77   110.65   167.16   128.66   101.66   107.71   117.31
NM    27    98.90    98.82    97.05    95.97   101.20   100.35   100.50
NV    31   101.14   106.19    92.82    94.68   109.90   106.74   104.60
NY    46   127.34   111.94   162.80   132.00   106.25   109.96   110.09
OH    14    94.29    99.29    79.57   108.23   101.55    95.41    98.38
OK     3    90.31    94.50    79.94    90.46    96.08    96.13    95.06
OR    38   111.49    97.97   133.16    86.88   109.49   115.68   105.26
PA    30   100.39   104.07    99.70   105.98    98.28    94.19    99.35
RI    44   123.90   114.76   132.02   131.54   101.59   111.83   127.74
SC    26    98.88   107.34    91.52   104.35    93.29    99.57   102.41
SD    32   101.25   104.52    98.42    97.73    99.99   102.00   103.96
TN     1    89.93    93.27    79.44    88.70    93.15    91.61    97.05
TX     5    90.71    89.38    81.85    95.71    95.18    96.58    95.30
UT    17    94.71    98.79    84.29    82.27   105.52    93.82   102.46
VA    22    97.74    97.75    97.35   101.17    92.26   100.05    98.77
VT    42   121.73   114.65   139.92   124.75   103.87   106.77   115.77
WA    37   105.08   101.55   108.27    86.44   112.93   118.17   104.84
WI    23    98.41    97.96    96.98    99.27   100.89   105.83    97.74
WV    18    94.97    92.30    93.76    92.27   103.33    94.45    94.94
WY    29    99.61   102.02   106.60    93.13    94.35    97.57    96.55
