Ticker	current	earnings 	UNII	price	NAV	Assets
NCP	.0790	.0790	.2840	13.32	13.75	256.5
NCO	.0780	.0791	.2204	13.52	13.64	159.3
NQC	.0790	.0788	.2793	13.41	13.7	279.6
NVC	.0810	.0820	.2641	13.68	13.86	475.8
NUC	.0840	.0847	.2731	14.36	14.34	469.5
NCU	.0725	.0716	.1811	13.09	13.62	112.7
NAC	.0745	.0809	.2726	12.81	13.37	444.5
NVX	.0800	.0768	.2451	13.78	14.05	302.7
NZH	.0750	.0711	.1366	12.75	12.75	457.5
NPC	.0725	.0736	.2184	13.94	14.28	134.0
NCL	.0720	.0719	.2195	13.12	13.71	246.2
NKL	.0785	.0848	.2781	13.93	14.32	319.7
NKX	.0670	.0704	.1679	12.62	13.54	114.4
NCB	.0665	.0662	-.0080	14.38	15.44	50.4
NCA	.0380	.0389	.0437	8.95	9.39	234.8
NXC	.0570	.0580	.0255	13.19	13.94	86.8
