Company	reserves	years	p2006	change   
BP            17368     10.4   3926    -1.9
ChevTex       11020     10.9   2667     6.1     
ExxMob        21518     11.3   4238     3.8     
RoyDutch      11108      6.7   3474    -1.0 
Hess           1243      7.9   -358     7.0     
BG             2149      6.2    601    19.0   
ConocoPh       6676      8.7   2359    29.7   
ENI            6406     11.2   1770     5.8     
Marathon       1262      7.1    377     9.0     
NorHydro       1916      9.3    573     2.0     
PetCanada      1301      8.4    345    -3.1 
RepsolYPF      2600      5.2   1128    -3.0
Petrobras     11458     14.2   2287     4.5     
CNOOC           503      3.0    455    11.7   
Gazprom      144668     39.7   9965     6.0     
LUKOIL        18144     27.2   1838     4.5     
PetChina      16260     15.6   2907     5.0 
