AggregateTypeUnitCode NumberofInitialInspections NumberofInitialInspectionsthatFailedforActiveRatSigns(ARS)
PercentageofInitialInspectionsthatFailedforARS
NumberofInitialInspectionsthatFailedforGarbage&Harborage
NumberofComplianceInspections
NumberofComplianceInspectionsthatFailed
PercentageofComplianceInspectionsthatFailed
NumberofComplianceInspectionsthatFailedforARS
PercentageofComplianceInspectionsthatFailedforARS
NumberofServiceVisitsbyaPestManagementProfessional
NumberofLotsCleaned
PercentageofInspectionsthatwereARSFreeonCompliancethathadARSonInitial
Citywide 
Citywide 110,058 11,675 10.61% 15,746 24,812 12,637 50.93% 6,257 25.22% 24,765 211 47.84%
Borough Unknown 744 39 5.24% 101 7 4 57.14% 0 0.00% 57 0 0.00%
Borough Manhattan 45,931 3,791 8.25% 1,336 4,663 2064 44.26% 1,747 37.47% 5,085 38 52.30%
Borough Bronx 25,987 3,944 15.18% 4,678 7,660 4314 56.32% 2,355 30.74% 6,094 37 42.40%
Borough Brooklyn 20,401 3,020 14.80% 3,609 6,167 3,168 51.37% 1,745 28.30% 9,155 102 44.98%
Borough Queens 14,045 655 4.66% 4,109 4,397 2091 47.56% 317 7.21% 2,659 30 62.14%
Borough Staten Island 2,950 226 7.66% 1,913 1,918 996 51.93% 93 4.85% 1,715 4 64.67%
Community District Unknown 774 48 6.20% 117 23 16 69.57% 4 17.39% 223 0 33.33%
Community District 100 0 0 0.00% 0 0 0 0.00% 0 0.00% 0 0 0.00%
Community District 101 1,555 167 10.74% 22 169 74 43.79% 73 43.20% 715 1 47.66%
Community District 102 4,945 340 6.88% 69 400 181 45.25% 170 42.50% 363 3 49.04%
Community District 103 4,805 732 15.23% 75 708 308 43.50% 291 41.10% 856 1 52.26%
Community District 104 3,635 249 6.85% 40 284 126 44.37% 113 39.79% 273 1 53.04%
Community District 105 3,203 76 2.37% 25 129 66 51.16% 59 45.74% 117 0 29.33%
Community District 106 2,873 113 3.93% 46 161 51 31.68% 41 25.47% 113 0 66.34%
Community District 107 4,839 362 7.48% 62 396 142 35.86% 134 33.84% 296 0 62.39%
Community District 108 6,077 314 5.17% 81 391 147 37.60% 131 33.50% 309 0 59.61%
Community District 109 2,681 328 12.23% 166 441 234 53.06% 181 41.04% 505 3 46.84%
Community District 110 4,915 367 7.47% 286 542 232 42.80% 169 31.18% 518 16 56.45%
Community District 111 3,410 269 7.89% 236 411 172 41.85% 109 26.52% 295 7 54.25%
Community District 112 2,992 474 15.84% 228 631 331 52.46% 276 43.74% 679 6 43.53%
Community District 200 21 17 80.95% 4 0 0 0.00% 0 0.00% 0 0 0.00%
Community District 201 4,232 271 6.40% 370 536 229 42.72% 116 21.64% 380 0 52.21%
Community District 202 517 160 30.95% 312 356 179 50.28% 79 22.19% 171 1 46.49%
Community District 203 1,193 574 48.11% 492 1,063 556 52.30% 313 29.44% 399 7 46.31%
Community District 204 3,692 560 15.17% 316 752 438 58.24% 318 42.29% 660 3 41.21%
Community District 205 4,242 868 20.46% 529 1,356 852 62.83% 582 42.92% 1,488 3 39.18%
Community District 206 4,582 476 10.39% 488 926 502 54.21% 299 32.29% 839 3 43.72%
Community District 207 4,165 523 12.56% 484 959 571 59.54% 388 40.46% 1,627 1 38.36%
Community District 208 250 57 22.80% 131 178 71 39.89% 31 17.42% 15 1 49.02%
Community District 209 1,181 256 21.68% 417 601 335 55.74% 155 25.79% 257 1 44.10%
Community District 210 236 14 5.93% 121 139 79 56.83% 9 6.47% 18 1 20.00%
Community District 211 894 128 14.32% 492 277 170 61.37% 41 14.80% 169 3 26.92%
